review_id,book_id,user_name,review_text,rating,timestamp
12,17405342,philnunn,see full review @ Katie's Corner Have you ever wondered how your favourite anime or cartoons are made? Well to be exact how the voice actors are chosen? If yes this fabulous story is just for you! I have read it twice and both times I loved it a lot. Though it lacks a bit the romance declaration from the main couple. Yup in the whole 12 or so volumes there's not a single kissing scene. As you know I always hate when the romance manga doesn't have at least one kiss. However as you can see I loved it when I read it for the first time and even reread it for my liking. But let me start from the very beginning. Meet our heroine - Hime a high-school freshman in a very specialized school. Her dream is to become a professional seiyu meaning a person who dubs anime and video games. However there's a problem she has quite interesting voice and you'll need quite an imagination to recreate the sounds but trust me as soon as you start reading the voices of each character will be coming alive. You don't believe me? Bad for you you just need to start reading and you'll understand absolutely everything. The story focuses on how Hime got into the industry and fell in love with Senri. He's one great character and his story is something that develops fantastically and you want to know how his relationship with Sakura Aoyama (that's his mother) will go. To say the truth I wanted a bit more. I did love how Senri and Hime end up together but I wanted to see at least their wedding but nope I didn't get it. And plus I really wanted to see how Hime would act girl's roles so far she only did men's ones. So you are ready to get to know Hime Senri and Mizuki? That's another character that you really need to get to know better! Enjoy it to its fullest and don't forget to share your thoughts below! Stay tuned for more reviews as well as promos. Don't miss your next favourite book or manga! Happy reading! XOXO Katie,2,1971-12-24 10:02:03
13,27384500,kota1987,I was looking for a modern crime novel and had heard about Follow Me by Angela Clarke through some reviews. Helpfully via NetGallery the publishers sent me a copy to read and review. Overall I enjoyed it. I like books set in London and this book with plenty of London scenes created a good sense of place. Freddie the central character is a struggling graduate trying to break through as a journalist writing for free whilst also generating income sufficient to subsist by working in a St Pancras Costa-type coffee outlet was credible and well written. She is the best thing about this book. At regular intervals something happens and Freddie instinctively converts it into an idea for a short journalistic story idea many of which had me chuckling. Having taken some advice Freddie seizes the day and gets involved in a murder. The game is afoot. This particular murderer is active on Twitter where he earns the sobriquet "the Hashtag Murderer" and he posts clues online taunting the police and capturing the public's imagination. As the story progressed more and more implausible elements started to appear and these undermined my enjoyment. The plot is fast moving and the story is compelling so I was able to dismiss most of these implausibilities. That said the denouement borders on ludicrous as does a scene that immediately precedes it and these moments were a stretch too far. I have to confess I just flicked through the final 20 pages such was my sense of disappointment at these final developments. Follow Me is undemanding and fun (in so far as gruesome murders can ever be called fun) and there is much to enjoy in this ultra modern crime novel however the plot bears no real scrutiny. Taken on its own terms it's fine and there's much that is very good however it is let down by the more far fetched aspects of the tale. 3/5,5,1968-03-06 02:10:07
14,18338465,kepcon,I read Monster in His Eyes and Torture to her soul in the beginning of this year and fell in love with the characters and writing style so naturally I had to continue reading J.M Darhower's work...OMG I LOVED THIS BOOK! I CAN'T WAIT TO READ THE NEXT ONE! I love Carmine & Haven they are just too adorable! The storyline is great although this is a work of fiction it makes you aware of the harsher realities of humanity.,1,1978-06-06 22:39:09
15,711002,jets11,I liked this first book of the Chanur series. I especially liked the way Pyanfar figured out how to deal with the kif and how knowing Tully can be useful. I look forward to reading the next book Chanur's Venture.,5,1958-02-28 16:02:40
16,18338465,paraskivairina,Loved!,5,2019-05-04 14:54:30
17,2250580,volkovroman1998,Midori's father makes robots and his latest is a "fun" robot that mimics human behavior more than any other has. This first book seems like a disjointed collection of short stories involving Midori and Vermillion and later Kira another robot who joins their happy family and how Vermillion passes for human among the outside world. Not terribly cohesive.,2,2017-09-28 16:30:05
18,18488643,rfvtgb1234,***I was given an ARC from Reading Bliss in exchange for an honest review*** Desire is the first book I have read from B.L. Wilde. Desire has it all a mixture of suspense romance erotica and of course LOVE. Jade Philips is a Seductor. She is half way through her ten year contract with The Seductors. So for the next five years they continue to own Jade. The Seductors is a secret business that has men and women who use their bodies and sex to get their clients the things they want. Jade is one of the best female seductors. She is given a new assignment that involves her getting close to Oliver Kirkham the CEO of a weapons company. From the moment Jade and Oliver and meet they are very attracted to each other. Oliver is making it very hard for Jade keep her mission on task. These two have an amazing chemistry. I liked Oliver a lot he was handsome rich sweet and kind yet he was a beast in bed. Man he could give more orgasms then most men. I really enjoyed his alpha in the bedroom side. Jade is independent smart and strong yet I felt Jade was hard to figure out. I kept rooting for her and Oliver. I wanted them to find their happiness with each other. Although I knew it couldn't happen yet because of Jade's contract. She just can't leave them until her contract is up or she will be killed. I enjoyed the plot also. I read this book in one sitting. I found it difficult to put down. One other thing is this book is full of sexy hot SEX! But I didn't feel it took away from the story. I was really surprised by how much I enjoyed Desire. I give it 4 stars. I can't wait to see where the next book takes us.,1,1954-01-20 08:22:44
19,28178571,blefiz1723,So far I'm loving Forget Me Not. Despite popular opinion I really like Yusuke who often makes bad decisions but is so open and introspective as he considers his past. As Yusuke has gotten older the women in his life become more detailed. Volume 3 moves much more slowly than volume 2 but given the dynamics of Yusuke Makino and Yamaguchi's relationship I didn't mind. Definitely a beautiful and engaging series.,5,1952-06-05 05:00:27
20,900084,nessco,"The Remarkable Record of Job" by Henry M. Morris isn't a commentary on Job but a look at several encompassing themes within. The main theme is God's Creation and how it ties in with God's message of Salvation. I found the book included several very interesting elements I'd never before considered. The writing style isn't anything special - it's rather matter-of-fact. Many many Bibles verses are referenced throughout but unfortunately they're from the King James Version so they're a little difficult to understand. Also there were a few oddities herein eg. references to Nimrod building Babel - this is highly unlikely as Genesis records Babel being a community effort and choice not justified under one powerful ruler. Also there were some curious beliefs about the behemoth and leviathan that I strongly disagree with and I think most people would find suspect. All in all this is a good book. 7.5/10,5,1958-04-02 16:08:10
21,10803536,pokrovskywx,This book is too hung up on the technical details and doesn't focus on character or plot. It's an interesting premise but when the characters are cardboard and their motivations cheesy and wafer-thin it just doesn't hold the reader's interest.,4,1984-12-08 00:12:21
22,18777580,mikeevenson,Meh. I just don't care for this author I guess. The community reviews led me to believe it was going to be an extraordinary romance. I thought it was commonplace and smutty. There is little build up to the relationship before they're all over each other and the same tired old sexual references are supposed to titillate but are boring and overused. I don't mind a little sex as long as its liberally sprinkled between a lot of story. AND you can care about the characters.,4,2018-10-02 01:58:46
23,6670541,shnyra88,I really wanted to like this book more. I have enjoyed the previous two installments. I felt that the characters were all only half-way fleshed out. I have liked that in the previous books she uses the local and culture to really give the books an exotic feel and to teach about the culture but I was dispirited in this one as Singapore didn't really stand out. Most of the characters are only half-way fleshed out and stereotypes. There are some bright spots. There is a sympathetic sub-plot about homosexuality and how it is looked down on in by many in Singaporean and Indian culture and the difficulty of being a gay man there is a part about the harsh drug laws and the hypocrisy of the police looking the other way to protect western ex-pats who use drugs while harshly sentencing natives who sell the drugs to the westerners. Also there is an execution by hanging at the end that was quite well written and poignant. Well I am going to give the next book in this series a try and hope this one was just a bump in the road. These books have been enjoyable lighthearted (for the most part) mysteries set in an exotic local written by a native and I recommend them to anyone who wants to get a day to day look at life in Malaysia and Singapore.,4,1990-01-19 04:26:51
24,17183712,elenafev,2.5 stars. Started slow. It picked up near the end.,4,1996-07-19 20:27:31
25,18071375,desmetkarin,I enjoyed this book. It was intense and fun most of the book. The ending was a stinger. i did like the heroin most of the book. I am looking forward reading the next book. Adults only.,5,2005-07-10 18:08:08
26,15801518,rivate4533,E lo sapete quando scovo un'autrice che mi piace poi non la mollo piu! Questa novella e stata ancora piu bella della precedente :D inutile dire che mi sono innamorata di Cade gia dalla prima frase xD il sexy cowboy australiano :Q_ ultimamente ci sto andando sotto per i papa - sara forse colpa di un certo Dornan in una certa serie chiamata The Fall?!?! Bah chi lo sa. Fatto sta che questo libricino mi ha scaldato il cuore,5,1953-10-11 17:05:51
27,8542469,sepehrair,Does axactly what it says on the tin. But if you have internet access you can find all this out on forums etc. Lets you know how to add and tweak a bunch of stuff on Ubuntu...or you could just use Mint or Pinguy. Like all of these guides it does go out of date fairly quickly due to new releases but it's based on the last LTS version.,3,1979-04-15 00:00:41
28,872645,ksayros2,First thing I think of this book: Totally awesome. Lulu the kicking and up Poker Player Girl isn't exactly the best candidate for being the stepdaughter of the Mayor of NYC. And no I'm not talking about this guy. He's married already you see. Although the Poker Diaries is a rather short book (hence the short review and because of the writing competition I'm in starts with a 'n' and ends with an 'o') it's actually quite awesome because of 1) the main character and 2) Lulu's dads both of them which is future dad and current dad. Guess who is which? I totally recommend this book to people who need to read a quick read and not be so dedicated/faithful to it because The Poker Diaries is a cheesy read. Cheesy doesn't even tell it all. The plot is crazy. I'll tell you the fast version of it. First we meet Lulu's real dad who happens to be on the wrong side of the law (very important part of the book). Then we meet the Mayor of NYC who really is killing the numbers on crime. Two dads on two sides of the law. Can it get any worse? Oh yes. Yes it can. Someone named Dack gets into the wrong crowd. Really bad crowd. Lulu ends up playing in a poker game to save Dack's butt. Then she gets blackmailed by someone because they have a footage of her talking about illegal poker games and stuff like that. Yeah. It can really go far especially when the police gets involve. But that's a little ahead of the story which I will not talk about. Because that's spoilers. Rating: Three out of Five for being ridiculously Cheesy Cheesy. -ofpaperandwords.blogspot.com,1,2004-12-02 23:15:10
29,32606520,katyabumerang,WOW. This was an awesome book. I loved Chastity and Kanen's story so much that I could't put it down. I definitely recommend.,1,1952-05-29 22:30:21
30,18071375,dgemails,Heard about this book through one of my groups 'What to read after FSOG' ...was free through Kindle...pretty good especially for the price :D,4,1970-11-04 04:15:20
31,18338465,mraupp,Rainy Dayz Reviewz Author: J.M. Darhower Genre: Contemporary Romance; Young Adult Source: NetGalley- Gallery Books 530 pages So much happened in this book I'm not sure where to start. This book encompasses so much. It's not just about human trafficking. It's not just about the mob. It's definitely not just any young adult romance. I feel silly saying it but I had a hard time starting this book. I was expecting something set in South America and that there would be a lot of violence in the book. There was some violence but the story of Haven and Carmine make up for it in spades. There were so many twists turns and surprises in this book it blew my mind. I found myself getting anxious thinking my gosh what can happen next? By the end I was so totally engrossed with the book that I read for 4 hours straight to finish it. Haven was born a slave. I thought since reading the synopsis that since she was a slave this book was set in another country because we aren't supposed to have slavery anymore in America. The book starts out in California where haven has lived for her 17 years. Just as there are all kinds of other illegal activities after reading this book I can believe that there are still slaves. That thought is very upsetting. Haven has spent her entire life secluded from the outside word. Her views on things are sometimes very funny in their simplicity. Haven gets taken from the house in California and her mother at the beginning of the book and is taken to a new house in North Carolina to live with the DeMarco's. She has to adjust to a whole different life and her journey was interesting to read. There are 2 DeMarco sons. Dominick and Carmine. Dominick is your regular high school student. Carmine is just a mess there's no nicer way to put it. He's seen some terrible things in his 17 years and in addition to that is considered a mafia prince. He drinks and does drugs a lot. He gets into fights with everyone. But he can't understand why Haven doesn't like him. The changes in Carmine once he decides to be nice to Haven and try to get her to like him are great. The relationship between Haven and Carmine is one of the best I've read in a book considered Young Adult. Why do I say the book is "considered" Young Adult? Well it might be categorized as that since they are technically both 17 and then 18 in the book but there is drinking drugs sex and violence in this book. I would say that it should be considered New Adult despite their ages. The topics that this book covers are something that I'm not sure that many teenagers would be able to understand or enjoy. When the book finished I thought to myself huh I think there could be a second book... and there will be. Apparently Sempre is book one of the Forever series. Book two is called Sempre Redemption and I'm sure it will be even more action packed than the first book. Its publication date on Goodreads is December 23rd. Picking a few favorite quotes has been difficult with this book. I highlighted a lot! Favorite Quotes: "Colpo di fulmine. The thunderbolt as Italians call it. When love strikes someone like lightning so powerful and intense it can't be denied. It's beautiful and messy cracking a chest open and spilling their soul out for the world to see. It turns a person inside out and there's no going back from it. Once the thunderbolt hits your life is irrevocably changed." "The girl who had never been able to call her life her own taught a boy who had the world at his fingertips exactly what it meant to live.",3,1975-01-04 14:15:26
32,7353587,zakiabdelwahed,Nothing incredibly new but I like her approach and the many lists with concrete examples (say X not Y when such-and-such happens).,5,2001-05-21 12:45:37
33,25822224,thelorena,Men in kilts. Need I say more? This was a pleasant anthology. A bit of a mixed bag but nothing horrible. Some stories suffer from the limited length. But all in all was a good enjoyable read on all things Scottish and romantic.,1,1956-06-02 09:21:28
34,29965886,hoogenboezemjg,Heartbreakingly beautiful Another wonderful story. I love a good ghost story,3,1971-03-27 02:28:21
35,2093969,metro83,It's appealing story but as is so often the case coming to it as an adult I find it just fine not awe-inspiring.,3,1991-12-31 10:37:33
36,18338465,clifton233,3.5 Buddy read this one with my beautiful sissy Pearl. Finally I was able to read this book! I've been eyeing this book since it came out but never got the chance to actually get a copy and so when I did I read it immediately the experience was more fun since I have someone to buddy read it with. Mafia + Love Story is a sure recipe to capture my attention. I've been craving for stories like this. I am sucker for great romance with a lot of action you know the damsel in distress kind with a knight in shining armor but in a realistic and modern setting. The book's premise was screaming all the right things I've been looking for in a book so I succumbed and read it. Did it hold its end of the bargain? Partly yes. Was I a tad bid disappointed? Well let's just say this book wasn't what I completely expected. Has it turned out to be a bad one? Definitely not it was a good book but then I was maybe looking for something else. I know my expectations got the better of me - again. The book started out really well I could say this because the only way I could gauge a good book is when I was engrossed by it the first 100 pages. It captured my attention and I was able to read a substantial amount of pages in just one sitting (which doesn't happen a lot these days because I have the attention span worse than a 2y/o) so I thought I'm in for a great ride. But as the story went on the pacing seemed to be slower than what I would have liked. I wanted action and heart stopping breath taking scenes but all of this only happened during the latter part of the book around 10% or so towards the end. So that was kind of a little disappointing for me because it was a book concerning mafias it is just natural to expect a lot of actions but alas there were only a little of it. I would like to say that the focus of the book was more on the love story of Carmine and Haven i'm saying that this isn't necessarily a bad thing however it could have been better if the mafia part was played out well. I love the love story though it was cheesy when it needs to be and serious when the circumstances asked for it to. I loved how consistent the characters were. Carmine who had a bad temper but turned out to be more patient and understanding because of Haven and Haven who was the shy girl at first but came out of her shell to open up. I loved how their characters developed and who they have become towards the end of the book. I loved how it centered on family too how important love is and would take extreme measures just to protect the ones they love. Sacrifices had to be made betrayal for a greater good it was a mixture of good family values and human frailties making the readers kind of relate to the book. I felt it the emotions that the book was trying to draw out from its readers and I couldn't discount the fact that not many books can do that. I also appreciated the fact that it wasn't too explicit or with contents that would make a reader cringe such as excessive use of profanities or abusive situations that one can not begin to fathom. I have read my fair share of books with explicit contents and I am glad that Sempre did not dwell on that completely I'd say I expected it in this book but this book proved me that a good book doesn't need to have explicit contents to be a cut above the rest. The reason I didn't give this book 5 stars is that I was perpetually lost and confused what with all the characters there are so many! I seriously had a hard time figuring out who is who and their relation to each other. I literally had to write down the family tree and whatnot just to keep up to what was happening - but even doing so I was still left with too many questions if anything I was more confused than I already am. There were a lot of loose ends. I had a lot of questions and I thought the last chapters will wrap it up but then it just served to add more questions to my already lost mind. I want to put every question I had in this review but then it will become a spoiler so I'd rather not spoil you of anything. I guess I would have to keep it to myself and just read book 2 to find the answers I've been desperately craving. So there's that. Also there are parts that the book can certainly do away with. I guess the author could have condensed the book into a shorter one and not make it more than 500 pages. I understand that this was the debut novel of the author but the book can really do some polishing leaving out really important details that would make the book more coherent. And oh I would love to read more of Vincent and Maura's back story I wish the author can do a novella of some sort. That would be amazing. And also I wish there was more backstory as to what happened to Nicholas and Carmine I was left wanting more. Maybe let's put it this way I wanted to see the whole back story of everything of how everything really came about. There was something lacking something I need to get a grip on so the story would come out real solid. Let's see if Sempre Redemption could give me the satisfaction I needed. All in all this was a good read and I could recommend it even to younger readers (okay not super super young but enough to decipher the message the book wanted to convey). And of course I will be reading more of JM Darhower's works I heard her other books are just as gripping if not more. Looking forward to it!,3,1981-11-09 07:16:22
37,18071375,pallero,Honest review in exchange for ARC.. LOVE IT! wow! really great love the story line. hated the cliff hanger ending. Really cant wait until book #2. An office romance that started at home! Ana is the daughter of Jake's fiance. Ana's mother never hangs around one guy for long. when Jake and Ana come home to find her mother gone Ana felt sorry it happen to Jake but was glad she could finally have him. After studying a case of girls going missing Ana turns out to be object of desire. After she is saved by Jake Ana finally thinks things are gonna get better between her and Jake until they have visitor and leaves Ana heart broken.,1,1953-07-13 17:08:22
38,29237614,sergeuo,Que demonios paso en este libro? No tengo ni la menor idea en serio hahahahahaha pero quiero leer el otro,4,2019-01-06 05:55:27
39,2168737,robben96,A collection of stories about the THing on his own away from the Fantastic Four after he has struck it rich. Along the way he learns money can create as many problems as it solves who his real friends are having a dog helps make life better and that women will make you do stupid things. LOts of old school comic book adventures good use of FF history really nice art Slott has a solid handle on the thing as a character and the message issues get their point across without hitting you over the head. Shame this was such a short lived series as it was a consistently good read. Be interesting to see someone try and capture this magic/formula and give the other members of the FF their own series and see if it work work or if the Thing is just special.,1,1954-06-13 19:21:49
40,18338465,martinuskowal,Aylar once bitirdigim kitabi burada etiketlemedigimi su anda fark etmek:) Lakin ben kitabi ilk elden okudum; sevgili Arzu Altinanit'in mis gibi cevirisinin duzeltisini yapan bendim. Ikinci defa bir kitabin ustunde isimlerimizin birlikte anilacak olmasinin keyfi <3,4,2012-01-05 03:14:23
41,11455127,superw,http://www.blue-moon.fr/spip.php?arti... Mieux vaut-il ne pas avoir froid aux yeux pour lire le second tome de la serie de Lacey Alexander mais si vous avez deja decouvert le premier vous le savez deja. Dans la collection Passion Intense il y a eu un net coup de chaud depuis quelques mois et ce tome illustre parfaitement le ton. Nous sommes plus dans l'erotica que dans la romance erotique. Ici l'histoire d'amour n'est pas centrale ou elle l'est d'une maniere subtile c'est davantage une etape dans la vie d'un couple. Ils vont se redecouvrir lors d'un week-end brulant organise par un mari pour l'anniversaire de son epouse. Ethan et Mira sont maries et globalement heureux meme si le travail du jeune homme fait que leurs relations se sont distendues depuis quelques mois au point que Mira se pose beaucoup de questions.Conscient de cela et du fait que son epouse a des fantasmes qu'ils n'ont pas experimente encore Ethan a une idee tres particuliere de cadeau un menage a trois avec un autre homme qui n'est autre qu'un ex de Mira. Un dangereux et seduisant week-end se profile alors car cette experience ne sera pas sans consequences. Ne cherchez pas une intrigue plus elaboree ou des rebondissements a n'en plus finir tout est dit. Ethan Rogan et Mira vont explorer les potentialites du liaison a trois et decouvrir ce qu'ils veulent  leurs limites respectives ce qu'ils veulent vivre dans leur vie privee ulterieure. Les scenes de sexe sont tres nombreuses tres longues detaillees et entrecoupees uniquement de reflexions des differents protagonistes sur ce qu'il se deroule. L'experience est interessante car chacun attend quelque chose de different. Pour Mira c'est une surprise et elle si accepte ce moment elle va se pose beaucoup de questions. Jalousie fantasme realise ou pas jeux dangereux avec le desir l'amour tout est mis sur le tapis a travers ces scenes brulantes. Si l'histoire est moins exploree que dans le premier tome et si ce questionnement est un brin previsible l'issue est interessante et les scenes effectivement tres erotiques n'ont rien de gratuit. Voila donc un intense roman erotique qui n'explore pas vraiment la romance mais davantage la relation d'un couple qui s'ouvre pour la premiere fois a un autre protagoniste. Mieux vaut savoir que ce roman est brulant et que vous y croiserez des situations ou les heros sont rarement seuls dans leur lit ! Mais si ce genre de lecture vous interpelle Lacey Alexander maitrise parfaitement son sujet et apporte des reponses aux questions que se posaient Ethan et mira au depart.,3,1995-12-19 20:02:20
42,19322550,habe739,Amazing as fast as I finish one I start on another. these books are addicting. I can't wait to read more.,2,1964-12-08 05:09:59
43,23626289,neelaeva,Inhalt: Daemon hat seinen Bruder Dawson zuruck aber Katy hat Dees Freundschaft verloren. Und auch Dawson ist nicht mehr der alte. Er hat es sich in den Kopf gesetzt seine Beth aus den Fangen des VM zu befreien. Aber sie werden beobachtet und Dawson totet kurzerhand einen Agenten. Als dann plotzlich Blake auftaucht ist das Chaos perfekt und vor allem Dees Mordgeluste gross. Aber gerade er scheint die einzige Moglichkeit zu sein Beth zu befreien und Dawson vor dem sicheren Tod zu bewahren. Konnen sie ihm vertrauen? Meinung: Nach meiner Begeisterung fur Daemon und Katy bin ich um den dritten Band naturlich nicht herumgekommen und erhoffte mir insbesondere eine weniger jammrige Katy als noch zu Beginn von Band 2. Vorab zur Entwarnung: Die habe ich bekommen. Der Einstieg in Katys Blogger- und Lux-Welt gelang erneut wie von selbst. Kleine verstreute Ruckblicke gaben mir die notige Erinnerungsstutze und ich konnte mich ganz auf das nachste Problem konzentrieren oder besser die Probleme. Denn neben Dawson der seine Beth zuruckhaben will ist Katys grosstes Problem die komplett zerstorte Freundschaft zu Dee. Die hat naturlich allen Grund wutend und enttauscht zu sein aber dennoch ist Katy wie vor den Kopf gestossen. Doch zumindest in einem Punkt lauft alles gut: Daemon ist sich seiner Gefuhle nun endlich so sicher wie Katy und ich durfte den einen oder anderen romantischen Moment mit ihnen verbringen. Hier eine kleine Anmerkung: Durch die Auslassungen fur ein Jugendbuch dachte ich mir eigentlich jedes Mal es" ware schon getan aber irgendwie ... nicht. Aber das war auch kein Problem sondern wollte nur erwahnt werden. Was ich hingegen schade fand dass die beiden durch die nun eindeutigen Gefuhle einiges an Biss verloren haben. Die schlagfertigen Dialoge sind nur noch selten vorhanden die Spruche nur noch ein Schatten des ersten Bands. Dadurch fiel mir mehr auf dass Jennifer L. Armentrout uber nahezu jede Kleinigkeit berichtete. Details die mich gefuhlt am Fortkommen hinderten was ich sehr schade fand denn der Schreibstil selbst ist locker und leicht wie eh und je. Naturlich steigert sich die Bedrohung und so kommt dennoch Spannung auf Ruckschlage und Tote mussten in Kauf genommen werden aber das gewisse Etwas fehlte einfach. Zug um Zug drangte sich dieser Eindruck immer weiter zuruck und die Spannung kletterte auf schwindelerregende Hohen - bis die Autorin den dritten Lux-Band mit einem absolut fiesen Ende abschliesst. Hoffentlich vergeht die Zeit bis Origin - Schattenfunke" ganz schnell. Urteil: In Opal - Schattenglanz" fuhrt Jennifer L. Armentrout ihre Geschichte um Katy und die Lux gekonnt fort. Leider blieb der von mir erhoffte Biss der Dialoge grosstenteils aus und deckte so einige ereignislose Stellen auf die mich am Vorankommen hinderten. Die stetig ansteigende Spannung der nervenzehrende Showdown und das herzzerreissende Ende belohne ich dennoch mit 4 Buchern. Die Reihe: 1. Obsidian - Schattendunkel 2. Onyx - Schattenschimmer 3. Opal - Schattenglanz 4. Origin - Schattenfunke (Erscheinungstermin: 18.12.2014) 5. Opposite - ? (Erscheinungstermin nicht bekannt) (c)hisandherbooks.de,2,1969-12-13 10:06:36
44,12587,panjan,nonfiction Biography American Literature Pedantic,3,1997-01-03 07:05:21
45,18510831,j1opus,short story also found at: https://anilbalan.files.wordpress.com...,1,1964-03-20 08:21:29
46,16110527,matveev74,I think this is the first time I've given a self-published book a five star rating. I found "Never" through a blog scavenger hunt the author did to celebrate the book release. When I downloaded the free sample I didn't know what to expect. The sample definitely hooked me. Travis Hamilton a scholarly young man is an unlikely suspect for murder. When he is convicted and sentenced ten years labor in Dead Mines his brother Ross is determined to clear Travis. Ross knows his brother cannot survive the sentence and he knows Travis is not the murderer. But the web of deception is more tangled than either brother imagined. As their journeys increase in difficulty both brothers turn to moral convictions that must "never" be abandoned no matter what the cost. Can Travis survive the evil rule of the mine boss? Can Ross reach the bottom of an ever deepening mystery before it's too late to rescue his brother? Some of Travis's experiences in the mine might make this book unsuitable for young children. I'd give it a PG rating. That said this book was refreshing. Even in Christian fiction it's rare to see heroes sticking to what they believe as tenaciously as Ross and Travis. The author did a wonderful job showing principled good winning over unprincipled evil. I'll be looking forward to reading more from this author. [I received a free copy of this book in exchange for a honest review. All opinions expressed are my own.],2,1966-12-28 03:50:49
47,18338465,kfgjxrfdthecmrf,Tak tohle me zasahlo a byl to zasah primo az do srdce. Jeste ted mi pro cely ten pribeh i pro ten konec tecou slzy. Bylo to opravdove a tak to i skoncilo i kdyz jsem porad ve skrytu doufala ze se stane nejaky zazrak. Ale tohle byla realita se vsim co bylo nabidnuto.,1,1964-06-08 06:03:28
